BHK,Rent,Size,City,Furnishing Status,Tenant Preferred,Bathroom,Floor Group
2,7200,630,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
3,12000,1500,Kolkata,Furnished,Bachelors,2,Ground Floor/Basement
1,5000,0,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
2,8500,700,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
1,6000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,10000,0,Kolkata,Semi-Furnished,Family,2,Ground Floor/Basement
2,4600,400,Kolkata,Semi-Furnished,Bachelors,1,Upper Floor
2,12000,0,Kolkata,Unfurnished,Family,2,Ground Floor/Basement
3,30000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
3,15000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
1,7500,0,Kolkata,Furnished,Bachelors/Family,1,Upper Floor
1,7500,450,Kolkata,Unfurnished,Bachelors,1,Upper Floor
2,5000,800,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,15000,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,11000,0,Kolkata,Semi-Furnished,Bachelors,1,Upper Floor
1,7000,600,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,6000,0,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
2,6000,0,Kolkata,Semi-Furnished,Bachelors,2,Upper Floor
2,7000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
2,8500,720,Kolkata,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,5000,300,Kolkata,Unfurnished,Bachelors,1,Lower Floor
3,30000,1200,Kolkata,Unfurnished,Bachelors/Family,3,Ground Floor/Basement
2,10000,700,Kolkata,Unfurnished,Bachelors/Family,2,Upper Floor
3,30000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,3500,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,8000,1100,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
1,5000,300,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,7500,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,6500,800,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,7500,0,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
1,7500,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,16000,850,Kolkata,Semi-Furnished,Bachelors,1,Lower Floor
2,16000,850,Kolkata,Semi-Furnished,Bachelors,1,Lower Floor
2,6500,0,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
3,40000,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,12500,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,5500,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,5000,450,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,6500,0,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
1,8000,0,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
3,14500,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
1,8200,500,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,15000,480,Kolkata,Furnished,Bachelors/Family,2,Ground Floor/Basement
2,6700,0,Kolkata,Furnished,Bachelors/Family,1,Lower Floor
1,10000,0,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
2,7000,700,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
2,22000,0,Kolkata,Furnished,Bachelors/Family,1,Upper Floor
2,6500,0,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
2,8500,550,Kolkata,Semi-Furnished,Bachelors/Family,1,Upper Floor
2,18000,800,Kolkata,Unfurnished,Bachelors,2,Ground Floor/Basement
2,12000,550,Kolkata,Semi-Furnished,Family,2,Ground Floor/Basement
1,9000,0,Kolkata,Furnished,Bachelors/Family,1,Lower Floor
1,6000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,20000,0,Kolkata,Furnished,Bachelors/Family,2,Lower Floor
1,5000,300,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
2,12000,0,Kolkata,Furnished,Bachelors/Family,2,Lower Floor
2,10000,500,Kolkata,Semi-Furnished,Bachelors/Family,1,Upper Floor
4,18000,0,Kolkata,Unfurnished,Family,2,Lower Floor
2,15000,900,Kolkata,Semi-Furnished,Bachelors/Family,2,Lower Floor
3,22000,1300,Kolkata,Unfurnished,Bachelors/Family,3,Ground Floor/Basement
4,35000,1600,Kolkata,Unfurnished,Bachelors/Family,3,Lower Floor
3,21000,0,Kolkata,Unfurnished,Family,2,Ground Floor/Basement
2,25000,0,Kolkata,Furnished,Bachelors,2,Upper Floor
1,6000,600,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
2,14000,700,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
3,8000,0,Kolkata,Unfurnished,Family,1,Ground Floor/Basement
2,8000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,6000,0,Kolkata,Furnished,Bachelors/Family,1,Ground Floor/Basement
1,8000,300,Kolkata,Semi-Furnished,Bachelors,1,Lower Floor
1,6000,300,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,20000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
3,12000,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
3,15000,0,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
2,14000,1000,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
1,5000,0,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
2,7000,400,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,3900,0,Kolkata,Furnished,Bachelors/Family,1,Upper Floor
3,14000,840,Kolkata,Unfurnished,Bachelors,2,Lower Floor
1,6300,300,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
2,13000,550,Kolkata,Furnished,Bachelors/Family,2,Lower Floor
1,6800,300,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
2,8000,0,Kolkata,Unfurnished,Bachelors/Family,2,Upper Floor
2,10000,740,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
2,18000,0,Kolkata,Unfurnished,Bachelors/Family,2,Upper Floor
2,8000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,8000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Upper Floor
1,4700,0,Kolkata,Furnished,Bachelors/Family,1,Upper Floor
1,4700,0,Kolkata,Furnished,Bachelors/Family,1,Ground Floor/Basement
1,4500,0,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
1,6000,300,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,16000,0,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
1,4700,0,Kolkata,Furnished,Bachelors/Family,1,Lower Floor
2,14000,751,Kolkata,Unfurnished,Bachelors,1,Upper Floor
2,9000,900,Kolkata,Semi-Furnished,Bachelors,1,Ground Floor/Basement
2,5000,400,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,17500,1000,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
2,8500,1000,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
3,15000,1500,Kolkata,Semi-Furnished,Family,2,Upper Floor
2,12500,750,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
1,13000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,8000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,8000,700,Kolkata,Furnished,Bachelors/Family,1,Upper Floor
2,8000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,7000,0,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
2,2200,0,Kolkata,Furnished,Bachelors/Family,1,Upper Floor
2,8000,800,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
2,5500,0,Kolkata,Unfurnished,Bachelors,1,Lower Floor
3,20000,0,Kolkata,Unfurnished,Bachelors/Family,3,Ground Floor/Basement
2,7000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,3500,0,Kolkata,Furnished,Bachelors/Family,1,Lower Floor
2,5000,1000,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
3,20000,1000,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
2,7000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,10000,0,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
2,7000,700,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
3,12000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
2,14500,900,Kolkata,Unfurnished,Bachelors,2,Lower Floor
1,6000,0,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
2,9500,0,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
2,10000,450,Kolkata,Semi-Furnished,Bachelors/Family,2,Upper Floor
1,3500,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,9000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Lower Floor
3,40000,1220,Kolkata,Unfurnished,Bachelors/Family,2,Upper Floor
3,16500,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
3,8000,700,Kolkata,Unfurnished,Family,2,Ground Floor/Basement
2,12000,0,Kolkata,Furnished,Bachelors/Family,1,Ground Floor/Basement
2,6500,0,Kolkata,Unfurnished,Family,1,Upper Floor
4,40000,0,Kolkata,Unfurnished,Bachelors/Family,3,Lower Floor
1,5000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,9000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
1,7000,240,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
2,18000,850,Kolkata,Semi-Furnished,Family,1,Lower Floor
1,9000,0,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
1,5500,450,Kolkata,Furnished,Bachelors/Family,1,Lower Floor
2,7500,800,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
2,4000,600,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
3,10500,800,Kolkata,Unfurnished,Bachelors,2,Upper Floor
3,15000,1100,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,15000,800,Kolkata,Furnished,Bachelors/Family,1,Ground Floor/Basement
2,12000,950,Kolkata,Unfurnished,Bachelors,2,Upper Floor
2,11000,550,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
2,12000,1800,Kolkata,Unfurnished,Bachelors,2,Upper Floor
2,8000,0,Kolkata,Furnished,Bachelors/Family,1,Ground Floor/Basement
2,18000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
2,8000,750,Kolkata,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,7000,0,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
1,6500,44,Kolkata,Furnished,Bachelors/Family,1,Ground Floor/Basement
4,13000,1200,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,9000,500,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
4,10000,1110,Kolkata,Unfurnished,Bachelors/Family,2,Upper Floor
2,12000,0,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
2,5000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,6000,0,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
1,5200,0,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
3,15000,0,Kolkata,Unfurnished,Family,2,Lower Floor
2,9000,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
1,24000,0,Kolkata,Furnished,Bachelors,1,Upper Floor
1,5500,400,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,10000,700,Kolkata,Unfurnished,Bachelors,1,Lower Floor
2,15000,1000,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
1,4700,0,Kolkata,Furnished,Bachelors/Family,1,Lower Floor
1,5000,500,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,5000,450,Kolkata,Semi-Furnished,Bachelors/Family,1,Upper Floor
3,15000,0,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
1,5000,500,Kolkata,Semi-Furnished,Bachelors/Family,1,Upper Floor
2,6000,700,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
3,18000,1200,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,8000,450,Kolkata,Unfurnished,Bachelors,1,Lower Floor
1,13000,500,Kolkata,Furnished,Bachelors,1,Upper Floor
2,7500,400,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
3,12000,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,11000,750,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
1,6000,0,Kolkata,Unfurnished,Family,1,Ground Floor/Basement
3,20000,1000,Kolkata,Unfurnished,Bachelors,2,Lower Floor
2,7000,500,Kolkata,Unfurnished,Bachelors,2,Upper Floor
4,30000,1600,Kolkata,Unfurnished,Bachelors,2,Ground Floor/Basement
2,7500,550,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
1,6500,0,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
1,3000,0,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
2,5200,650,Kolkata,Unfurnished,Bachelors,1,Lower Floor
2,25000,0,Kolkata,Furnished,Bachelors/Family,2,Upper Floor
2,12500,680,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,8500,720,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,3500,500,Kolkata,Unfurnished,Bachelors,1,Upper Floor
2,7000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,3000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,14000,1200,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
1,18000,0,Kolkata,Furnished,Bachelors/Family,1,Ground Floor/Basement
1,3500,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,16000,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
4,35000,0,Kolkata,Unfurnished,Bachelors/Family,3,Ground Floor/Basement
2,21000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
1,4500,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,15000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,4500,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,5500,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,8500,0,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
1,5000,500,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,8500,620,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
2,9000,650,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
1,7500,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,7000,450,Kolkata,Furnished,Bachelors,2,Lower Floor
3,15000,1350,Kolkata,Unfurnished,Family,2,Lower Floor
2,7000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Upper Floor
3,10000,0,Kolkata,Furnished,Bachelors/Family,1,Lower Floor
2,7000,0,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
3,3200,800,Kolkata,Furnished,Bachelors/Family,2,Lower Floor
2,6000,600,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,12000,0,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
2,6000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
3,10000,0,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
3,12000,0,Kolkata,Semi-Furnished,Bachelors/Family,3,Upper Floor
2,8000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,5300,650,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
2,5000,450,Kolkata,Unfurnished,Bachelors,1,Upper Floor
3,8500,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
3,22000,1000,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
2,7000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
3,25000,1400,Kolkata,Furnished,Bachelors,3,Upper Floor
2,7000,600,Kolkata,Semi-Furnished,Bachelors,1,Lower Floor
2,15000,723,Kolkata,Furnished,Family,1,Ground Floor/Basement
1,6000,320,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,8000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
3,40000,1400,Kolkata,Furnished,Bachelors/Family,2,Ground Floor/Basement
1,6000,0,Kolkata,Semi-Furnished,Bachelors,1,Lower Floor
2,15000,650,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,6500,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Upper Floor
3,8000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Upper Floor
1,5500,500,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
3,9000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Lower Floor
1,6000,130,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
1,15000,0,Kolkata,Furnished,Bachelors/Family,1,Ground Floor/Basement
4,30000,0,Kolkata,Furnished,Bachelors/Family,3,Ground Floor/Basement
3,30000,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
1,5000,700,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,15000,0,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
1,6500,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Upper Floor
2,4500,0,Kolkata,Furnished,Bachelors/Family,1,Ground Floor/Basement
2,7000,450,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,6500,350,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
1,17500,480,Kolkata,Furnished,Bachelors,2,Lower Floor
2,10000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,1500,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
3,25000,0,Kolkata,Unfurnished,Bachelors/Family,3,Upper Floor
2,12000,800,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
3,7500,1000,Kolkata,Furnished,Bachelors/Family,2,Ground Floor/Basement
1,7000,800,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
1,3500,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
3,10000,1190,Kolkata,Unfurnished,Bachelors/Family,2,Lower Floor
2,14000,900,Kolkata,Unfurnished,Bachelors,2,Ground Floor/Basement
2,15000,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,6500,0,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
3,10000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,10500,800,Kolkata,Unfurnished,Family,2,Lower Floor
3,10000,900,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
1,5000,350,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,9000,800,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,20000,1600,Kolkata,Unfurnished,Bachelors,2,Ground Floor/Basement
3,35000,1012,Kolkata,Semi-Furnished,Bachelors/Family,2,Upper Floor
3,15000,1200,Kolkata,Unfurnished,Bachelors,2,Ground Floor/Basement
2,20000,0,Kolkata,Furnished,Bachelors/Family,1,Lower Floor
2,12000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Lower Floor
2,8000,800,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
1,3000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
3,20000,1200,Kolkata,Semi-Furnished,Bachelors,2,Ground Floor/Basement
1,9000,450,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
3,13000,950,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
1,7000,350,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,9000,450,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,9000,550,Kolkata,Semi-Furnished,Bachelors,1,Ground Floor/Basement
2,10000,300,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
3,15000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
2,7000,0,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
3,8000,0,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,8000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,5000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
1,14000,320,Kolkata,Furnished,Bachelors,1,Lower Floor
2,5000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,5000,420,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
3,12000,0,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
1,3200,0,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
2,8500,700,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
3,16000,1200,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
2,14000,800,Kolkata,Unfurnished,Bachelors/Family,2,Ground Floor/Basement
1,8000,300,Kolkata,Furnished,Bachelors,1,Ground Floor/Basement
2,7000,650,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,8000,0,Kolkata,Furnished,Bachelors/Family,1,Lower Floor
1,3000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
1,3800,500,Kolkata,Unfurnished,Bachelors,1,Lower Floor
1,6500,0,Kolkata,Unfurnished,Bachelors/Family,1,Upper Floor
3,20000,0,Kolkata,Semi-Furnished,Bachelors/Family,3,Ground Floor/Basement
3,30000,0,Kolkata,Unfurnished,Bachelors/Family,2,Upper Floor
1,8000,300,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,14000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Lower Floor
2,7200,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,7000,600,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
1,7000,0,Kolkata,Unfurnished,Bachelors,2,Lower Floor
2,7500,900,Kolkata,Unfurnished,Bachelors/Family,1,Lower Floor
2,8500,1250,Kolkata,Unfurnished,Family,2,Ground Floor/Basement
2,12000,700,Kolkata,Unfurnished,Bachelors,1,Ground Floor/Basement
1,8500,850,Kolkata,Unfurnished,Bachelors,2,Ground Floor/Basement
2,9500,550,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
2,7500,550,Kolkata,Furnished,Bachelors/Family,2,Ground Floor/Basement
2,12000,0,Kolkata,Unfurnished,Bachelors/Family,1,Ground Floor/Basement
3,20000,1100,Kolkata,Unfurnished,Bachelors,2,Ground Floor/Basement
2,8500,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
3,20000,1050,Kolkata,Unfurnished,Bachelors,2,Ground Floor/Basement
2,6000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
2,5500,650,Kolkata,Unfurnished,Bachelors/Family,2,Upper Floor
1,7000,0,Kolkata,Semi-Furnished,Bachelors/Family,1,Ground Floor/Basement
2,7000,0,Kolkata,Semi-Furnished,Bachelors/Family,2,Ground Floor/Basement
1,6500,0,Kolkata,Unfurnished,Family,1,Upper Floor
